ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,abstract,language,author,cited_by,fulltext,url,dblp_key,metadata_source
000078,article,10.1057/JIT.1992.19,Journal of Information Technology,Applying methodologies for information systems development,1992,7,3,127--140,,eng,"Avison, D E and Shah, H U and Powell, R S and Uppal, P S",2,,,,
000079,article,10.1080/026839697345224,Journal of Information Technology,Information systems development methodologies: a classification according to problem situation,1997,12,1,73--81,,,"Avison, D E and Taylor, V",11,,,,
000080,article,10.1080/02683960050153156,Journal of Information Technology,SAP implementation at Metalica: an organizational drama in two acts,2000,15,3,183--194,,,"Avital, Michel and Vandenbosch, Betty",19,,,,
000081,article,10.1057/JIT.1990.17,Journal of Information Technology,Organizational principles of systems decentralization,1990,5,2,84--93,,eng,"Bacon, C James",10,,,,
000082,article,10.1057/JIT.1991.15,Journal of Information Technology,Information systems strategies in government: recent survey evidence,1991,6,2,94--107,,eng,"Bacon, Nigel",5,,,,
000083,article,10.1057/JIT.1991.16,Journal of Information Technology,Case study: implementing new systems at Penguin Books,1991,6,2,108--111,,eng,"Baddeley, Julie",0,,,,
000084,article,10.1080/0268396032000130214,Journal of Information Technology,The Information Technology Outsourcing Risk: A Transaction Cost and Agency Theory-Based Perspective,2003,18,3,211--221,"Many firms have adopted outsourcing in recent years as a means of governing their information technology (IT) operations. While outsourcing is associated with significant benefits, it can also be a risky endeavour. This paper proposes a scenario-based conceptualization of the IT outsourcing risk, wherein risk is defined as a quadruplet comprising a scenario, the likelihood of that scenario, its consequences and the risk mitigation mechanisms that can attenuate or help avoid the occurrence of a scenario. This definition draws on and extends a risk assessment framework that is widely used in engineering. The proposed conceptualization of risk is then applied to the specific context of IT outsourcing using previous research on IT outsourcing as well as transaction cost and agency theory as a point of departure.",eng,"Bahli, Bouchaib and Rivard, Suzanne",154,http://journals.sagepub.com/doi/pdf/10.1080/0268396032000130214,,,
000085,article,10.1057/PALGRAVE.JIT.2000037,Journal of Information Technology,The Adoption and use of Collaboration Information Technologies: International Comparisons,2005,20,2,130--140,"Information technology (IT) applications to support group decision processes have been of considerable interest over the years. With the emergence of virtual team arrangements and the advent of emerging information and networking technologies, an increasing amount of attention is now being aimed at understanding collaboration among group members, as they make decisions to accomplish tasks. Effective and efficient collaboration is critical from a decision quality and decision timeliness standpoint. Commonly known as collaborative information technologies (CITs), many technology solutions have the capability to enhance collaboration and facilitate group decisions in task accomplishment by enabling better communication, sharing of information, ideas, expertise, and evaluating alternatives, irrespective of time and distance barriers. Many studies have investigated such individual CIT solutions in different regional settings. However, despite the fact that no single medium can support collaboration in different types of tasks, there is a scarcity of research investigating the adoption and use of multiple CIT options across regions. This paper builds upon innovation diffusion theory and tests a research model to validate five antecedents of collective adoption and use of seven CITs in the US, Australia, and Hong Kong. Sub-sample analyses of data collected from 344 organizations in these three regions suggest that not only do adoption and use patterns of some CIT solutions vary across regions but so do the antecedents that explain their proliferation. Implications of our findings are discussed for practitioners and researchers.",eng,"Bajwa, Deepinder S. and Lewis, L. Floyd and Pervan, Graham and Lai, Vincent S.",40,,,,
000086,article,10.1080/026839696345342,Journal of Information Technology,Information systems/technology evaluation practices: evidence from UK organizations,1996,11,2,129--141,,,"Ballantine, J A and Galliers, R D and Stray, S J",22,,,,
000087,article,10.1080/026839698344927,Journal of Information Technology,Financial appraisal and the IS/IT investment decision making process,1998,13,1,3--14,,,"Ballantine, Joan and Stray, Stephanie",34,,,,
000088,article,10.1080/02683960050153183,Journal of Information Technology,"Acts of faith: instinct, value and IT investment decisions",2000,15,3,231--241,,,"Bannister, Frank and Remenyi, Dan",46,,,,
000089,article,10.1057/JIT.2009.15,Journal of Information Technology,Institutionalisation as a Process of Interplay between Technology and Its Organisational Context of Use,2009,24,4,305--319,"This study contributes to the IS literature with a distinct explanation of the process of institutionalisation of technology in organisations. The research analyses the role of micro-level processes of interplay in embedding an intranet in the formal functioning of an organisation and in the habits and routines of its employees. The findings identify two types of processes of interplay underpinning this process of institutionalisation. The first operates at the level of constitutive expectations and refers to mutual changes to the governance, policy and control mechanisms which foster the perception that the intranet is part of the expected formal functioning of the organisation. The second operates at the level of background expectations and refers to mutual changes that make the intranet look more familiar, functional, easier to use, fostering its embedding in routines and habits of the employees. The study aims to motivate more research on institutionalisation as a bottom-up micro process of gradual development of institutionalised behaviour.",eng,"Baptista (John), João",67,,,,
